"screenName.x","screenName.y"
"PietBakker","PeterKerkhof"
"Nieuwsmonitor","PeterKerkhof"
"vanatteveldt","PeterKerkhof"
"nruigrok","PeterKerkhof"
"marjaruigrok","PeterKerkhof"
"JlabHU","MechanicalAngel"
"PietBakker","MechanicalAngel"
"nruigrok","MechanicalAngel"
"StijnBz","PietBakker"
"vanatteveldt","PietBakker"
"nruigrok","PietBakker"
"PeterKerkhof","PietBakker"
"JlabHU","PietBakker"
"WoltersGerrit","PietBakker"
"VincenzoSmits","PietBakker"
"nruigrok","marjaruigrok"
"WoltersGerrit","marjaruigrok"
"nruigrok","sarahgagestein"
"vanatteveldt","sarahgagestein"
"nruigrok","drsfp"
"Nieuwsmonitor","drsfp"
"JlabHU","drsfp"
"PeterKerkhof","drsfp"
"PietBakker","drsfp"
"nruigrok","NicoleDijkstra7"
"PietBakker","MaxKemman"
"nruigrok","MaxKemman"
"JlabHU","WouterJong"
"nruigrok","WouterJong"
"PietBakker","WouterJong"
"nruigrok","VincenzoSmits"
"StijnBz","VincenzoSmits"
"JlabHU","VincenzoSmits"
"PietBakker","VincenzoSmits"
"nruigrok","DebraMeiburgMW"
"nruigrok","anitavanhoof"
"PeterKerkhof","anitavanhoof"
"nruigrok","geertmaarse"
"PietBakker","geertmaarse"
"nruigrok","kjellmassen"
"marjaruigrok","kjellmassen"
"nruigrok","arianneripmees"
"nruigrok","SybrenKooistra"
"StijnBz","SybrenKooistra"
"PietBakker","SybrenKooistra"
"JlabHU","SybrenKooistra"
"nruigrok","NaimaAjouaau"
"Nieuwsmonitor","edwindepedwin"
"nruigrok","edwindepedwin"
"nruigrok","bartvdli"
"StijnBz","bartvdli"
"StijnBz","JoepSchaper"
"Nieuwsmonitor","JoepSchaper"
"PietBakker","JoepSchaper"
"vanatteveldt","JoepSchaper"
"nruigrok","JoepSchaper"
"vanatteveldt","Nieuwsmonitor"
"marjaruigrok","Nieuwsmonitor"
"nruigrok","Nieuwsmonitor"
"Nieuwsmonitor","JochemvOoijen"
"nruigrok","JochemvOoijen"
"PeterKerkhof","PytrikSchafraad"
"nruigrok","PytrikSchafraad"
"StijnBz","PytrikSchafraad"
"PietBakker","PytrikSchafraad"
"Nieuwsmonitor","PytrikSchafraad"
"JlabHU","PytrikSchafraad"
"WoltersGerrit","PytrikSchafraad"
"nruigrok","eshcc_eur"
"PeterKerkhof","vanatteveldt"
"Nieuwsmonitor","vanatteveldt"
"nruigrok","vanatteveldt"
"PietBakker","vanatteveldt"
"JlabHU","vanatteveldt"
"nruigrok","clauverhoeven"
"nruigrok","scriptamelius"
"vanatteveldt","borisdefloer"
"nruigrok","borisdefloer"
"Nieuwsmonitor","borisdefloer"
"StijnBz","borisdefloer"
"PietBakker","JlabHU"
"WoltersGerrit","JlabHU"
"VincenzoSmits","JlabHU"
"nruigrok","JlabHU"
"PietBakker","StijnBz"
"nruigrok","StijnBz"
"nruigrok","leonlaureij"
"Nieuwsmonitor","fifischwarz"
"nruigrok","fifischwarz"
"StijnBz","fifischwarz"
"PietBakker","fifischwarz"
"vanatteveldt","Lynn_Epping"
"PeterKerkhof","Lynn_Epping"
"PietBakker","Lynn_Epping"
"nruigrok","Lynn_Epping"
"nruigrok","lruijmgaart"
"PietBakker","hellesjovaag"
"nruigrok","hellesjovaag"
"nruigrok","JoshuaZeven"
"nruigrok","WoltersGerrit"
"marjaruigrok","WoltersGerrit"
"JlabHU","WoltersGerrit"
"PietBakker","WoltersGerrit"
"nruigrok","judithmoerman"
"Nieuwsmonitor","judithmoerman"
"Nieuwsmonitor","Jessicaaa1987"
"nruigrok","Jessicaaa1987"
"nruigrok","BarbierSuzanne"
"StijnBz","ffffortuna"
"nruigrok","ffffortuna"
"StijnBz","kimbjanssen"
"nruigrok","kimbjanssen"
"Nieuwsmonitor","kimbjanssen"
"nruigrok","AnneliesLacor"
"Nieuwsmonitor","AnneliesLacor"
"nruigrok","NajatChaatouf"
"nruigrok","NvanAtteveldt"
"vanatteveldt","NvanAtteveldt"
"nruigrok","Miranda_eckje"
"nruigrok","ProjectImpactVU"
"PietBakker","ProjectImpactVU"
"marjaruigrok","ProjectImpactVU"
"PeterKerkhof","ProjectImpactVU"
"nruigrok","Florisnieuws"
"StijnBz","Florisnieuws"
"PietBakker","MartinBeltov"
"nruigrok","MartinBeltov"
"nruigrok","twightriacarro"
"nruigrok","MijnWooncoach"
"JlabHU","rboeyink"
"nruigrok","rboeyink"
"vanatteveldt","rboeyink"
"PietBakker","rboeyink"
"NaimaAjouaau","KarimDami2"
"nruigrok","KarimDami2"
"StijnBz","Reblrnews"
"JlabHU","Reblrnews"
"nruigrok","Reblrnews"
"PietBakker","Reblrnews"
